NSR:Quay:1612;122328201
NSR:StopPlace:1000;1223282
NSR:Quay:17061;412162401
NSR:Quay:17062;412162402
NSR:StopPlace:10000;4121624
NSR:Quay:17063;426327001
NSR:StopPlace:10001;4263270
NSR:Quay:17064;412162601
NSR:StopPlace:10002;4121626
NSR:Quay:17065;402398201
NSR:StopPlace:10003;4023982
NSR:Quay:17066;412162801
NSR:StopPlace:10004;4121628
NSR:Quay:17067;402398401
NSR:StopPlace:10005;4023984
NSR:Quay:17068;412163001
NSR:StopPlace:10006;4121630
NSR:Quay:17069;402398601
NSR:StopPlace:10007;4023986
NSR:Quay:17070;412163201
NSR:StopPlace:10008;4121632
NSR:Quay:17071;426327201
NSR:StopPlace:10009;4263272
NSR:Quay:1613;122328301
NSR:StopPlace:1001;1223283
NSR:Quay:17072;412163401
NSR:StopPlace:10010;4121634
NSR:Quay:17073;402398801
NSR:StopPlace:10011;4023988
NSR:Quay:17074;412163601
NSR:StopPlace:10012;4121636
NSR:Quay:17075;402399002
NSR:StopPlace:10013;4023990
NSR:Quay:17076;412163801
NSR:StopPlace:10014;4121638
NSR:Quay:17077;402399201
NSR:StopPlace:10015;4023992
NSR:Quay:17078;426327401
NSR:Quay:17079;426327403
NSR:Quay:17080;426327402
NSR:StopPlace:10016;4263274
NSR:Quay:17082;412164001
NSR:Quay:17081;412164002
NSR:StopPlace:10017;4121640
NSR:Quay:17083;402399401
NSR:StopPlace:10018;4023994
NSR:Quay:17084;412164201
NSR:Quay:17085;412164202
NSR:StopPlace:10019;4121642
NSR:Quay:1614;105540502
NSR:Quay:1615;105540501
NSR:StopPlace:1002;1055405
NSR:Quay:17086;402399601
NSR:StopPlace:10020;4023996
NSR:Quay:17088;412164401
NSR:Quay:17087;412164402
NSR:StopPlace:10021;4121644
NSR:Quay:17089;402400001
NSR:StopPlace:10022;4024000
NSR:Quay:17090;426327501
NSR:StopPlace:10023;4263275
NSR:Quay:17091;412164601
NSR:StopPlace:10024;4121646
NSR:Quay:17092;402400101
NSR:StopPlace:10025;4024001
NSR:Quay:17093;426327601
NSR:StopPlace:10026;4263276
NSR:Quay:17094;402400201
NSR:StopPlace:10027;4024002
NSR:Quay:17095;402400301
NSR:StopPlace:10028;4024003
NSR:Quay:17096;412164801
NSR:StopPlace:10029;4121648
NSR:Quay:1616;135123001
NSR:Quay:1617;135123002
NSR:StopPlace:1003;1351230
NSR:Quay:17097;426327701
